event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2024-04-28 12:12:00.000,2024-04-28 12:35:00.000,2024-04-28 12:53:00.000,C7.8,13654
2024-04-28 15:42:00.000,2024-04-28 16:01:00.000,2024-04-28 16:18:00.000,C6.3,13654
2024-04-28 20:06:00.000,2024-04-28 20:20:00.000,2024-04-28 20:32:00.000,C8.3,13654
2024-04-28 21:12:00.000,2024-04-28 21:20:00.000,2024-04-28 21:26:00.000,C2.4,13654
2024-04-28 21:26:00.000,2024-04-28 21:30:00.000,2024-04-28 21:35:00.000,C2.5,13654
2024-04-28 22:06:00.000,2024-04-28 22:18:00.000,2024-04-28 22:26:00.000,C2.6,13658
2024-04-28 22:51:00.000,2024-04-28 23:06:00.000,2024-04-28 23:13:00.000,C7.7,13654
2024-04-29 00:33:00.000,2024-04-29 00:48:00.000,2024-04-29 00:54:00.000,M2.5,13654
2024-04-29 00:54:00.000,2024-04-29 01:11:00.000,2024-04-29 01:20:00.000,M3.7,13654
2024-04-29 06:23:00.000,2024-04-29 06:31:00.000,2024-04-29 06:38:00.000,C3.0,13654
2024-04-29 07:27:00.000,2024-04-29 07:36:00.000,2024-04-29 08:10:00.000,C3.4,13661
2024-04-29 13:19:00.000,2024-04-29 13:27:00.000,2024-04-29 13:35:00.000,C2.8,13654
2024-04-29 19:14:00.000,2024-04-29 19:26:00.000,2024-04-29 19:35:00.000,C8.5,13654
2024-04-29 21:15:00.000,2024-04-29 21:21:00.000,2024-04-29 21:26:00.000,C1.6,13654
2024-04-29 23:04:00.000,2024-04-29 23:12:00.000,2024-04-29 23:19:00.000,C1.6,13654
2024-04-29 23:19:00.000,2024-04-29 23:24:00.000,2024-04-29 23:28:00.000,C1.4,13654
2024-04-30 00:46:00.000,2024-04-30 01:14:00.000,2024-04-30 01:31:00.000,M1.6,13654
2024-04-30 07:05:00.000,2024-04-30 07:13:00.000,2024-04-30 07:20:00.000,C1.4,0
2024-04-30 09:50:00.000,2024-04-30 10:04:00.000,2024-04-30 10:17:00.000,C2.0,13654
2024-04-30 12:36:00.000,2024-04-30 12:55:00.000,2024-04-30 13:21:00.000,C1.8,13654
2024-04-30 14:50:00.000,2024-04-30 15:11:00.000,2024-04-30 15:26:00.000,M1.2,13654
2024-04-30 16:11:00.000,2024-04-30 16:33:00.000,2024-04-30 16:47:00.000,M1.3,13654
2024-04-30 23:23:00.000,2024-04-30 23:46:00.000,2024-04-30 23:58:00.000,M9.5,13654
2024-05-01 05:58:00.000,2024-05-01 07:58:00.000,2024-05-01 08:41:00.000,C5.8,13654
2024-05-01 10:49:00.000,2024-05-01 10:56:00.000,2024-05-01 11:04:00.000,C1.7,13663
2024-05-01 14:17:00.000,2024-05-01 14:32:00.000,2024-05-01 14:37:00.000,M1.8,13654
2024-05-01 14:37:00.000,2024-05-01 14:44:00.000,2024-05-01 14:48:00.000,M1.9,13654
2024-05-01 17:01:00.000,2024-05-01 17:11:00.000,2024-05-01 17:18:00.000,C3.7,13663
2024-05-01 18:14:00.000,2024-05-01 18:17:00.000,2024-05-01 18:22:00.000,C1.9,13663
2024-05-01 20:00:00.000,2024-05-01 20:06:00.000,2024-05-01 20:11:00.000,C1.9,13663
2024-05-01 22:26:00.000,2024-05-01 22:31:00.000,2024-05-01 22:37:00.000,M1.8,13663
2024-05-01 23:57:00.000,2024-05-02 00:04:00.000,2024-05-02 00:15:00.000,C1.2,13663
2024-05-02 01:23:00.000,2024-05-02 01:30:00.000,2024-05-02 01:41:00.000,C1.6,13664
2024-05-02 02:07:00.000,2024-05-02 02:17:00.000,2024-05-02 02:24:00.000,M1.0,13663
2024-05-02 08:50:00.000,2024-05-02 09:01:00.000,2024-05-02 09:12:00.000,C2.7,13663
2024-05-02 09:12:00.000,2024-05-02 09:18:00.000,2024-05-02 09:22:00.000,C2.5,13654
2024-05-02 09:44:00.000,2024-05-02 09:51:00.000,2024-05-02 09:56:00.000,C4.3,13663
2024-05-02 13:49:00.000,2024-05-02 13:57:00.000,2024-05-02 14:04:00.000,C3.6,13663
2024-05-02 16:18:00.000,2024-05-02 16:27:00.000,2024-05-02 16:31:00.000,C3.7,13664
2024-05-02 16:56:00.000,2024-05-02 17:00:00.000,2024-05-02 17:04:00.000,C6.3,13664
2024-05-02 17:22:00.000,2024-05-02 17:32:00.000,2024-05-02 17:36:00.000,C8.7,13664
2024-05-02 18:48:00.000,2024-05-02 18:56:00.000,2024-05-02 19:05:00.000,C4.0,13664
2024-05-02 20:42:00.000,2024-05-02 20:48:00.000,2024-05-02 20:52:00.000,C1.9,0
2024-05-02 20:52:00.000,2024-05-02 20:57:00.000,2024-05-02 21:01:00.000,M2.7,13664
2024-05-02 23:12:00.000,2024-05-02 23:19:00.000,2024-05-02 23:23:00.000,C5.0,13664
2024-05-02 23:26:00.000,2024-05-02 23:29:00.000,2024-05-02 23:33:00.000,C3.6,13663
2024-05-03 00:08:00.000,2024-05-03 00:15:00.000,2024-05-03 00:19:00.000,M2.7,13664
2024-05-03 01:51:00.000,2024-05-03 01:59:00.000,2024-05-03 02:05:00.000,C2.6,13663
2024-05-03 02:05:00.000,2024-05-03 02:09:00.000,2024-05-03 02:11:00.000,C2.4,13663
2024-05-03 02:11:00.000,2024-05-03 02:22:00.000,2024-05-03 02:27:00.000,X1.6,13663
2024-05-03 03:17:00.000,2024-05-03 03:27:00.000,2024-05-03 03:37:00.000,C7.4,13654
2024-05-03 05:08:00.000,2024-05-03 05:18:00.000,2024-05-03 05:21:00.000,C6.0,13663
2024-05-03 05:21:00.000,2024-05-03 05:27:00.000,2024-05-03 05:33:00.000,C6.7,13663
2024-05-03 06:31:00.000,2024-05-03 06:35:00.000,2024-05-03 06:40:00.000,C5.3,13664
2024-05-03 08:05:00.000,2024-05-03 08:11:00.000,2024-05-03 08:16:00.000,M4.4,13663
2024-05-03 16:05:00.000,2024-05-03 16:13:00.000,2024-05-03 16:23:00.000,C8.0,13664
